Task Name,Linked Project,Status,Priority,Due Date,Effort,Notes
Draft homepage case study copy,Portfolio Rebuild,In Progress,P1,2024-02-15,Medium,Waiting on client sign-off before publishing. Draft 90% done.
Review and finalize About page copy,Portfolio Rebuild,This Week,P2,2024-02-16,Small,Copy written - needs final read and SEO check.
Add 3 project images to Case Study 2,Portfolio Rebuild,Backlog,P3,2024-02-20,Small,Need hi-res exports from Figma.
Publish Portfolio page to live site,Portfolio Rebuild,Backlog,P2,2024-03-01,Medium,Blocked on Case Study 1 sign-off first.
Write Newsletter Issue 1 outline,Newsletter Launch,This Week,P2,2024-02-17,Small,Topic: "Why UX designers fail at prioritization"
Set up Beehiiv account and branding,Newsletter Launch,Done,P1,2024-02-10,Medium,Completed 10 Feb. Logo and header uploaded.
Draft Newsletter Issue 1 first draft,Newsletter Launch,Backlog,P2,2024-02-22,Medium,Outline needed first (Task 2A).
Research and shortlist 5 distribution channels,Newsletter Launch,Backlog,P3,2024-03-01,Small,Competitor newsletter used LinkedIn and Twitter primarily.
Send Brand Guidelines v1 to Client A,Client A: Brand Identity,In Progress,P1,2024-02-14,Medium,90% complete. Awaiting internal review.
Create icon set (16 base icons),Client A: Brand Identity,This Week,P2,2024-02-16,Large,Batch session needed - 3hr minimum.
Write invoice for Client A milestone 2,Admin Cleanup,Backlog,P3,2024-02-17,Small,Invoice amount: £1,200.
